first_seen_utc,ioc_id,ioc_value,ioc_type,threat_type,fk_malware,malware_alias,malware_printable,last_seen_utc,confidence_level,reference,tags,anonymous,reporter
2024-06-05 15:50:13, 1279280, 172e9e9b58eb9b063b0a961e6504331b1868088e, sha1_hash, payload, win.redline_stealer, RECORDSTEALER, RedLine Stealer, , 95, None, None, 0, Grim
2024-06-05 15:50:07, 1279277, 8842a6d2e19ce562c9b87da1046b7369fae11ec4, sha1_hash, payload, win.formbook, win.xloader, Formbook, , 95, None, None, 0, Grim
2024-06-05 15:50:01, 1279274, 0cd5fc60caf4d14ba898d39608b7228f99df393e, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-05 15:49:58, 1279271, 9c159ec0c6dfccb5c47b454b877be86feb46b268, sha1_hash, payload, win.formbook, win.xloader, Formbook, , 95, None, None, 0, Grim
2024-06-05 15:49:55, 1279268, e0e3eb52e2850d9643d1342871b8baf9d5f822e0, sha1_hash, payload, win.remcos, RemcosRAT,Remvio,Socmer, Remcos, , 95, None, None, 0, Grim
2024-06-05 15:49:52, 1279265, f51ba19e96dd0a8e9c52c10633a828863dc0e18f, sha1_hash, payload, win.formbook, win.xloader, Formbook, , 95, None, None, 0, Grim
2024-06-05 15:49:45, 1279262, 8aa3b67eb557660c74da446f3f5103a04e83a41b, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-05 15:49:42, 1279259, 047d87d6304d11e4971c5ec969df1516484562a7, sha1_hash, payload, win.redline_stealer, RECORDSTEALER, RedLine Stealer, , 95, None, None, 0, Grim
2024-06-05 15:49:39, 1279256, 036d578dc5b530754aaa1824e288ccb57ab3177d, sha1_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-05 15:49:36, 1279253, 3d2c5bd28fd1df60b72018c835b135c9a4b538d0, sha1_hash, payload, win.formbook, win.xloader, Formbook, , 95, None, None, 0, Grim
2024-06-05 15:49:33, 1279250, 36030cbecb7da91bdec7fad7be62dfe9cca3ab1d, sha1_hash, payload, win.formbook, win.xloader, Formbook, , 95, None, None, 0, Grim
2024-06-05 15:49:30, 1279247, b44184528fbb70d1e72b058cd8a9154b14ae8d23, sha1_hash, payload, win.formbook, win.xloader, Formbook, , 95, None, None, 0, Grim
2024-06-05 15:49:26, 1279244, 7a8139085c0ef9ca0c188428222b392d5ba87729, sha1_hash, payload, win.jlorat, None, JLORAT, , 95, None, None, 0, Grim
2024-06-05 15:49:22, 1279241, f7f9a1f9b82fbf583477934710dcce7ec84f566f, sha1_hash, payload, win.zgrat, None, zgRAT, , 95, None, None, 0, Grim
2024-06-05 15:49:19, 1279238, 5ecbeae9d0f1ea36fe496c35127413717f626b09, sha1_hash, payload, win.formbook, win.xloader, Formbook, , 95, None, None, 0, Grim
2024-06-05 15:49:16, 1279235, 4246445289836f88494e3a1f45cc81ea5635c609, sha1_hash, payload, win.remcos, RemcosRAT,Remvio,Socmer, Remcos, , 95, None, None, 0, Grim
