first_seen_utc,ioc_id,ioc_value,ioc_type,threat_type,fk_malware,malware_alias,malware_printable,last_seen_utc,confidence_level,reference,tags,anonymous,reporter
2024-06-05 15:50:01, 1279273, 61300540a2fccd044d641329a7102e47, md5_hash, payload, win.formbook, win.xloader, Formbook, , 95, None, None, 0, Grim
2024-06-05 15:49:57, 1279270, 95626a1bca4871e5d3fd14604d688c71, md5_hash, payload, win.remcos, RemcosRAT,Remvio,Socmer, Remcos, , 95, None, None, 0, Grim
2024-06-05 15:49:54, 1279267, 8e8fa6787ab3561a193454904a6c6a03, md5_hash, payload, win.formbook, win.xloader, Formbook, , 95, None, None, 0, Grim
2024-06-05 15:49:51, 1279264, 93b8d429bac8f71fdba98c9d687b951b, md5_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-05 15:49:44, 1279261, afc38adffb336c140e51c43126e17584, md5_hash, payload, win.redline_stealer, RECORDSTEALER, RedLine Stealer, , 95, None, None, 0, Grim
2024-06-05 15:49:41, 1279258, 53402c1891cfccdd00b44ce511010785, md5_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-05 15:49:38, 1279255, 5caa82b99c935b8200ac06687e4a5001, md5_hash, payload, win.formbook, win.xloader, Formbook, , 95, None, None, 0, Grim
2024-06-05 15:49:35, 1279252, 32b04b7430d7fa58d1e3bd6963b7fbb9, md5_hash, payload, win.formbook, win.xloader, Formbook, , 95, None, None, 0, Grim
2024-06-05 15:49:32, 1279249, c6f8ee239d34c1bd04f8df9e82d1e723, md5_hash, payload, win.formbook, win.xloader, Formbook, , 95, None, None, 0, Grim
2024-06-05 15:49:29, 1279246, 78476788c185867c095630eeaa35b8d7, md5_hash, payload, win.jlorat, None, JLORAT, , 95, None, None, 0, Grim
2024-06-05 15:49:25, 1279243, cce1b5401bbae2203633c6321e59531f, md5_hash, payload, win.zgrat, None, zgRAT, , 95, None, None, 0, Grim
2024-06-05 15:49:21, 1279240, 468cc41b83f8ddf9cd6f28b7b2f273ab, md5_hash, payload, win.formbook, win.xloader, Formbook, , 95, None, None, 0, Grim
2024-06-05 15:49:18, 1279237, 09a9b558dd3eeb3bb3aeb296d85abaf6, md5_hash, payload, win.remcos, RemcosRAT,Remvio,Socmer, Remcos, , 95, None, None, 0, Grim
2024-06-05 15:49:15, 1279234, c86986d560728762cca6eb3fddde5863, md5_hash, payload, win.sigloader, None, SigLoader, , 95, None, None, 0, Grim
2024-06-05 15:49:12, 1279231, f04b64bcb537501ace0c77274e6127d8, md5_hash, payload, win.sigloader, None, SigLoader, , 95, None, None, 0, Grim
2024-06-05 15:49:09, 1279228, f41482940a8541117d885d640d8ef709, md5_hash, payload, win.sigloader, None, SigLoader, , 95, None, None, 0, Grim
2024-06-05 15:49:06, 1279225, 8170ed5deb6ad823fc7ae0b4d3c0cb4d, md5_hash, payload, win.formbook, win.xloader, Formbook, , 95, None, None, 0, Grim
2024-06-05 15:49:03, 1279222, bd1a2c0320be913042b54040d01fd532, md5_hash, payload, win.asyncrat, None, AsyncRAT, , 95, None, None, 0, Grim
2024-06-05 15:49:00, 1279219, f95f0f0440c1f4e6fe9aee332dcefad7, md5_hash, payload, win.redline_stealer, RECORDSTEALER, RedLine Stealer, , 95, None, None, 0, Grim
2024-06-05 15:48:57, 1279216, 91d0535f6c68fa7905b32ee1a9f68c03, md5_hash, payload, win.agent_tesla, AgenTesla,AgentTesla,Negasteal, Agent Tesla, , 95, None, None, 0, Grim
2024-06-05 15:48:54, 1279213, 95d0a92e095fa4ac9df1d207eae127e2, md5_hash, payload, win.formbook, win.xloader, Formbook, , 95, None, None, 0, Grim
2024-06-05 15:48:51, 1279210, 781a598560272296fa31f3f936c02cc7, md5_hash, payload, win.asyncrat, None, AsyncRAT, , 95, None, None, 0, Grim
2024-06-05 15:48:47, 1279207, 99d4efaf9116f5232b1d02eba7f413f2, md5_hash, payload, win.asyncrat, None, AsyncRAT, , 95, None, None, 0, Grim
2024-06-05 15:48:43, 1279204, 234d6b88e2233488b2eb88415c3e739c, md5_hash, payload, win.gcleaner, None, GCleaner, , 95, None, None, 0, Grim
